	Name	Nationality
77	O. Dembélé	France
78	B. Williams	England
79	B. Soumaré	France
80	D. van de Beek	Netherlands
81	S. Mané	Senegal
82	V. van Dijk	Netherlands
83	A. Saelemaekers	Belgium
84	Cucurella	Spain
85	L. Jovi?	Serbia
86	Y. Verschaeren	Belgium
87	H. Aouar	France
88	Rúben Dias	Portugal
89	M. de Ligt	Netherlands
90	N. Zaniolo	Italy
91	Nuno Tavares	Portugal
92	P. Foden	England
93	T. Sou?ek	Czech Republic
94	D. Szoboszlai	Hungary
95	M. Zaracho	Argentina
96	T. Abraham	England
97	A. Lunin	Ukraine
98	M. Diaby	France
99	J. Kimmich	Germany
100	N. Barella	Italy
101	Y. Atal	Algeria
102	D. Zakaria	Switzerland
103	T. Parrott	Republic of Ireland
104	T. Kubo	Japan
105	O. Kabak	Turkey
106	M. Simakan	France
107	Rafael Leão	Portugal
108	A. Taarabt	Morocco
109	G. Lo Celso	Argentina
110	M. Mount	England
111	T. Ndombele	France
112	Diogo Jota	Portugal
113	S. Milinkovi?-Savi?	Serbia
114	R. Sessegnon	England
115	T. Hernández	France
116	David Neres	Brazil
117	D. Zagadou	France
118	E. Ampadu	Wales
119	J. Brandt	Germany
120	D. Kulusevski	Sweden
121	F. Mendy	France
122	D. Rice	England
123	M. Salah	Egypt
124	João Pedro	Brazil
125	M. Škriniar	Slovakia
126	J. Henderson	England
127	E. Palacios	Argentina
128	J. Bowen	England
129	Renan Lodi	Brazil
130	W. Ndidi	Nigeria
132	H. Ziyech	Morocco
133	M. Kean	Italy
134	Oyarzabal	Spain
135	L. Bailey	Jamaica
136	Éder Militão	Brazil
137	J. Boga	Ivory Coast
138	Matheus Cunha	Brazil
139	Riqui Puig	Spain
140	Fabián	Spain
141	A. Martial	France
142	A. Gomes	England
143	Brahim	Spain
144	P. Dybala	Argentina
145	E. Can	Germany
146	J. Kluivert	Netherlands
147	C. Söyüncü	Turkey
148	L. Klostermann	Germany
149	B. Kamara	France
150	Z. Ibrahimovi?	Sweden
151	L. Stergiou	Switzerland
152	P. Pogba	France
153	H. Winks	England
154	A. Maier	Germany
155	E. Barco	Argentina
156	R. Sterling	England
157	J. Vagnoman	Germany
158	A. Nübel	Germany
159	L. Sané	Germany
160	M. Gómez	Uruguay
161	M. Demiral	Turkey
162	Ricardo Pereira	Portugal
163	A. Robertson	Scotland
164	Romário Baró	Portugal
165	Diogo Dalot	Portugal
166	Arthur	Brazil
167	N. Pépé	Ivory Coast
168	L. Hernández	France
169	D. Arzani	Australia
170	M. Depay	Netherlands
171	Grimaldo	Spain
172	Gedson Fernandes	Portugal
173	H. Ben Arfa	France
174	J. Ikoné	France
175	C. Nkunku	France
176	M. Guendouzi	France
177	Kangin Lee	Korea Republic
178	R. Lewandowski	Poland
179	I. Sarr	Senegal
180	B. Chilwell	England
181	A. Isak	Sweden
182	A. Saint-Maximin	France
183	Lucas Paquetá	Brazil
184	N. Fekir	France
185	A. Velasco	Argentina
186	M. Salisu	Ghana
187	N. Mukiele	France
188	Y. Carrasco	Belgium
189	K. De Bruyne	Belgium
190	K. Adeyemi	Germany
191	T. Minamino	Japan
192	M. Dembélé	France
193	A. Meret	Italy
194	Paulinho	Brazil
195	E. Hazard	Belgium
196	A. Romagnoli	Italy
197	Nélson Semedo	Portugal
198	S. Chukwueze	Nigeria
199	F. Chiesa	Italy
200	J. Correa	Argentina
201	A. Bastoni	Italy
202	S. McTominay	Scotland
203	C. Pulisic	United States
204	S. Sensi	Italy
205	W. Ben Yedder	France
206	A. Onana	Cameroon
207	H. Kane	England
208	Eric García	Spain
209	K. Hoever	Netherlands
210	Saúl	Spain
211	A. Urzi	Argentina
212	D. Alli	England
213	Rúben Neves	Portugal
214	J. Ferreira	United States
215	R. Orsolini	Italy
216	Daniel Podence	Portugal
217	R. Nelson	England
218	Y. Tielemans	Belgium
219	S. Gnabry	Germany
220	Bernardo Silva	Portugal
221	L. Goretzka	Germany
222	H. Barnes	England
223	J. Todibo	France
224	J. Frimpong	Netherlands
225	Pau Torres	Spain
226	Douglas Luiz	Brazil
227	Gabriel Barbosa	Brazil
228	G. Bale	Wales
229	T. Adams	United States
230	C. Lenglet	France
231	G. Wijnaldum	Netherlands
232	A. Griezmann	France
233	J. Vardy	England
234	Gabriel Jesus	Brazil
235	K. Tierney	Scotland
236	G. Donnarumma	Italy
237	R. Jiménez	Mexico
238	Iñaki Williams	Spain
239	J. Foyth	Argentina
240	A. Mac Allister	Argentina
241	M. Thuram	France
242	A. Tuanzebe	England
243	Rodri	Spain
244	M. Rashica	Kosovo
245	A. Milik	Poland
246	B. Gilmour	Scotland
247	K. Dolberg	Denmark
248	Junior Firpo	Spain
249	Luis Alberto	Spain
250	R. Bentancur	Uruguay
251	E. Ndicka	France
252	J. Arp	Germany
253	Casemiro	Brazil
254	P. Cutrone	Italy
255	Fábio Silva	Portugal
256	P. Retsos	Greece
257	V. Tsygankov	Ukraine
258	A. Sánchez	Chile
259	S. Dest	United States
260	K. Laimer	Austria
261	B. Badiashile	France
262	R. Jones	England
263	D. McNeil	England
264	T. Weah	United States
265	D. Brooks	Wales
266	Florentino	Portugal
267	Andreas Pereira	Brazil
268	M. Wagué	Senegal
269	Paco Alcácer	Spain
270	Marco Asensio	Spain
271	S. Longstaff	England
272	J. Martínez	Venezuela
273	L. Matheson	England
274	Alisson	Brazil
275	M. Akanji	Switzerland
276	Alex Telles	Brazil
277	I. Bennacer	Algeria
278	Fred	Brazil
279	I. Hagi	Romania
280	C. Stengs	Netherlands
281	K. Coman	France
282	J. Mateta	France
283	Mario Hermoso	Spain
284	R. Mahrez	Algeria
285	V. Lazaro	Austria
286	A. Oxlade-Chamberlain	England
287	H. Lozano	Mexico
288	E. Nketiah	England
289	O. Edouard	France
290	Z. Vanheusden	Belgium
291	A. Belotti	Italy
292	R. Aït Nouri	France
293	A. Lafont	France
294	B. Pavard	France
295	J. Dilrosun	Netherlands
296	S. Agüero	Argentina
297	J. Álvarez	Argentina
298	Gabriel	Brazil
299	L. Pellegrini	Italy
300	K. Benzema	France
301	R. Matondo	Wales
302	M. Vandevoordt	Belgium
303	T. Chong	Netherlands
304	J. Rodríguez	Colombia
305	K. Koulibaly	Senegal
306	Coutinho	Brazil
307	M. Longstaff	England
308	T. Kehrer	Germany
309	Gonçalo Guedes	Portugal
310	Lucas Moura	Brazil
311	Carles Pérez	Spain
312	Angeliño	Spain
313	L. Torreira	Uruguay
314	Rúben Vinagre	Portugal
315	A. Gómez	Argentina
316	B. Adekanye	Netherlands
317	C. Jones	England
318	J. Lingard	England
319	Anderson Talisca	Brazil
320	B. Dr?gowski	Poland
321	C. Pavón	Argentina
322	P. Aubameyang	Gabon
323	R. Guerreiro	Portugal
324	Reguilón	Spain
325	Ferro	Portugal
326	M. Reus	Germany
327	E. Millot	France
328	L. Robertone	Argentina
329	Renato Sanches	Portugal
330	Gayà	Spain
331	João Cancelo	Portugal
332	Marquinhos	Brazil
333	A. Morelos	Colombia
334	Cédric	Portugal
335	N. Aké	Netherlands
336	J. Carrascal	Colombia
337	P. Kimpembe	France
338	V. Moses	Nigeria
339	A. Rebi?	Croatia
340	Fabinho	Brazil
341	H. Maguire	England
342	T. Koopmeiners	Netherlands
343	W. Faríñez	Venezuela
344	A. Correa	Argentina
345	A. Harit	Morocco
346	G. Buffon	Italy
347	K. Zouma	France
348	Odriozola	Spain
349	M. Samatta	Tanzania
350	F. Neuhaus	Germany
351	J. Larsen	Denmark
352	N. Süle	Germany
353	R. Nainggolan	Belgium
354	A. Witsel	Belgium
355	R. Borré	Colombia
356	N. Kanté	France
357	W. Zaha	Ivory Coast
358	Kepa	Spain
359	N. Tagliafico	Argentina
360	D. Mertens	Belgium
361	S. van den Berg	Netherlands
362	T. Hazard	Belgium
363	D. Sánchez	Colombia
364	L. Maina	Germany
365	Douglas Costa	Brazil
366	E. Dennis	Nigeria
367	Abel Ruiz	Spain
368	A. Christensen	Denmark
369	G. Maroni	Argentina
370	Héctor Bellerín	Spain
371	C. Ünder	Turkey
372	M. Icardi	Argentina
373	D. Alaba	Austria
374	Q. Promes	Netherlands
375	J. Koundé	France
376	A. Young	England
377	I. Diop	France
378	R. Brewster	England
379	M. Gibbs-White	England
380	O. Wijndal	Netherlands
381	R. Boženík	Slovakia
382	Adrià Pedrosa	Spain
383	E. Elmas	FYR Macedonia
384	L. Martínez Quarta	Argentina
385	M. Kana	Belgium
386	Melendo	Spain
387	Hwang Hee Chan	Korea Republic
388	L. Díaz	Colombia
389	J. Bogle	England
390	M. Verratti	Italy
391	V. Lindelöf	Sweden
392	D. Lainez	Mexico
393	Emerson	Italy
394	M. Eggestein	Germany
395	L. Dendoncker	Belgium
396	L. Suárez	Uruguay
397	M. Brozovi?	Croatia
398	Y. Adli	France
399	A. Riccardi	Italy
400	O. Skipp	England
401	N. Katterbach	Germany
402	L. Fernández	Uruguay
403	N. Mazraoui	Morocco
404	T. Cantwell	England
405	A. Aouchiche	France
406	F. Kessié	Ivory Coast
407	L. Digne	France
408	W. Rooney	England
409	A. Idah	Republic of Ireland
410	Gelson Martins	Portugal
411	T. Lemar	France
412	K. Phillips	England
414	M. Caqueret	France
415	P. Pellegri	Italy
416	A. Laporte	France
417	E. Tapsoba	Burkina Faso
418	J. Mæhle	Denmark
419	J. Torunarigha	Germany
420	A. Lacazette	France
421	S. Villa	Colombia
422	W. Geubbels	France
423	A. Pinamonti	Italy
424	J. Augustin	France
425	T. Partey	Ghana
426	E. Cavani	Uruguay
427	A. Gouiri	France
428	C. Tolisso	France
429	M. Politano	Italy
430	H. Çalhano?lu	Turkey
431	J. Ili?i?	Slovenia
432	K. Baldé	Senegal
433	Raphinha	Brazil
434	L. Agoume	France
435	M. Götze	Germany
436	N. Keïta	Guinea
437	C. Kouamé	Ivory Coast
438	M. Sabitzer	Austria
439	Carlos Soler	Spain
440	Sergio Ramos	Spain
441	A. Kutucu	Turkey
442	A. Maitland-Niles	England
443	J. Tah	Germany
444	B. Embolo	Switzerland
445	C. De Ketelaere	Belgium
446	A. Marin	Croatia
447	B. Mendy	France
448	J. Corona	Mexico
449	N. De la Cruz	Uruguay
450	A. Diallo	France
451	A. Sørloth	Norway
452	Vinícius	Brazil
453	C. Bakambu	DR Congo
454	J. Lewis	Northern Ireland
455	M. Obafemi	Republic of Ireland
456	S. Hansen	Netherlands
457	Thiago	Spain
458	Yeray	Spain
459	F. Bustos	Argentina
460	L. Sinisterra	Colombia
461	D. Origi	Belgium
462	P. Daka	Zambia
463	T. Fosu-Mensah	Netherlands
464	C. Ferreira	Argentina
465	A. Lookman	England
466	Dani Ceballos	Spain
467	M. Daramy	Denmark
468	L. Modri?	Croatia
469	S. Aurier	Ivory Coast
470	A. Golovin	Russia
471	J. Denayer	Belgium
472	J. Willock	England
473	Jota	Portugal
474	T. Kroos	Germany
475	E. Mor	Turkey
476	J. Zirkzee	Netherlands
477	J. Giménez	Uruguay
478	L. Nmecha	Germany
479	R. Loftus-Cheek	England
480	S. Umtiti	France
481	A. Gaich	Argentina
482	A. Tchouaméni	France
483	E. Bailly	Ivory Coast
484	Isco	Spain
485	M. Rojas	Paraguay
486	F. Bernardeschi	Italy
487	D. Rossi	Uruguay
488	E. Buendía	Argentina
489	M. Kova?i?	Croatia
490	M. Kudus	Ghana
491	N. Ferguson	England
492	T. Tomiyasu	Japan
493	A. Di María	Argentina
494	J. Draxler	Germany
495	L. Cacace	New Zealand
496	Wesley	Brazil
497	Aarón Martín	Spain
498	Domingos Quina	Portugal
499	E. Dier	England
500	L. Insigne	Italy
501	Marc Roca	Spain
502	N. González	Argentina
503	Y. Poulsen	Denmark
504	D. Calabria	Italy
505	D. Zapata	Colombia
506	P. Højbjerg	Denmark
507	R. Kent	England
508	M. ter Stegen	Germany
509	Luís Maximiano	Portugal
510	J. Garner	England
511	S. El Shaarawy	Italy
512	A. Plea	France
513	A. Florenzi	Italy
514	Suso	Spain
515	Matheus Pereira	Brazil
516	Aleñá	Spain
517	H. Evjen	Norway
518	J. Stones	England
519	O. Watkins	England
520	Fernandinho	Brazil
521	M. Özil	Germany
522	Piqué	Spain
524	P. Max	Germany
525	D. Rose	England
526	Wendel	Brazil
527	N. Gaitán	Argentina
528	Óscar	Spain
529	M. Lazzari	Italy
530	N. Collins	Republic of Ireland
531	Samu Castillejo	Spain
532	A. Robinson	United States
533	D. Lukébakio	Belgium
534	E. Loiodice	France
535	L. Tousart	France
536	S. Haller	France
537	F. Kosti?	Serbia
538	Marcelo	Brazil
539	Diego Carlos	Brazil
540	Merino	Spain
541	Sergio Gómez	Spain
542	H. Wilson	Wales
543	Jesús Navas	Spain
544	M. Hummels	Germany
545	R. Gosens	Germany
546	T. Meunier	Belgium
547	M. Cuisance	France
548	N. Elvedi	Switzerland
549	L. Shaw	England
550	M. Richards	England
551	S. de Vrij	Netherlands
552	D. Selke	Germany
553	J. King	Norway
554	M. Kranevitter	Argentina
555	N. Bannis	Netherlands
556	N. Armini	Italy
557	J. Gvardiol	Croatia
558	G. Castrovilli	Italy
559	H. Traorè	Ivory Coast
560	M. Cash	England
561	M. van Bergen	Netherlands
562	S. Benrahma	Algeria
563	B. Henrichs	Germany
564	J. Oblak	Slovenia
565	Brais Méndez	Spain
566	J. Sargent	United States
567	Juan Bernat	Spain
568	M. Gruji?	Serbia
569	Tete	Brazil
570	E. Smith Rowe	England
571	Sancet	Spain
572	A. Claude-Maurice	France
573	C. Dagba	France
574	J. Hurtado	Venezuela
575	G. Bazunu	Republic of Ireland
576	Pizzi	Portugal
577	C. Gallagher	England
578	R. Fraser	Scotland
579	L. Ferguson	Scotland
580	M. Sissoko	France
581	N. Williams	Wales
582	C. Gakpo	Netherlands
583	E. Laird	England
584	P. Zieli?ski	Poland
585	S. Lobotka	Slovakia
586	A. Zagré	France
587	D. Rugani	Italy
588	Gustavo Assunção	Brazil
589	J. Sands	United States
590	S. Kalu	Nigeria
591	T. Müller	Germany
592	W. Weghorst	Netherlands
593	A. Franco	Argentina
594	B. Godfrey	England
595	F. Medina	Argentina
596	L. Paredes	Argentina
597	M. Acuña	Argentina
598	N. Okafor	Switzerland
599	Pedro Porro	Spain
600	Arthur Cabral	Brazil
601	G. Mancini	Italy
602	G. Chakvetadze	Georgia
603	M. Sarr	France
604	A. Januzaj	Belgium
605	G. Diangana	England
606	J. McGinn	Scotland
607	M. Solomon	Israel
608	M. Halstenberg	Germany
609	Morata	Spain
610	E. Audero	Italy
611	E. Boateng	Ghana
612	P. Schick	Czech Republic
613	R. Araujo	Uruguay
614	Allan	Brazil
615	Pablo Sarabia	Spain
616	K. Grant	England
617	K. Mbabu	Switzerland
618	Pablo Fornals	Spain
619	P. Schuurs	Netherlands
620	S. Ascacíbar	Argentina
621	S. Bornauw	Belgium
622	T. Courtois	Belgium
623	Y. Valery	France
624	E. Konsa	England
625	I. Gueye	Senegal
626	K. Ajer	Norway
627	M. Almirón	Paraguay
628	T. Strakosha	Albania
629	Unai Simón	Spain
630	A. Rüdiger	Germany
631	De Gea	Spain
632	Felipe Anderson	Brazil
633	M. Terrier	France
634	T. Lamptey	England
635	Galeno	Brazil
636	David Silva	Spain
638	A. Rabiot	France
639	D. Djené	Togo
640	Félix Correia	Portugal
641	G. Tsitaishvili	Ukraine
642	H. Wolf	Austria
643	Y. En-Nesyri	Morocco
644	J. Carbonero	Colombia
645	André Silva	Portugal
646	A. Vidal	Chile
647	M. Balotelli	Italy
648	M. Vargas	Argentina
649	Rafael Camacho	Portugal
650	F. Quagliarella	Italy
651	Javi Hernández	Spain
652	J. Macías	Mexico
653	M. Marega	Mali
654	N. Stark	Germany
655	J. Cuadrado	Colombia
656	K. Manolas	Greece
657	J. Reine-Adélaïde	France
658	Joelinton	Brazil
659	M. Holgate	England
660	Ederson	Brazil
661	M. Batshuayi	Belgium
662	M. Sanson	France
663	R. Skov	Denmark
664	Alex Sandro	Brazil
665	M. Djenepo	Mali
666	N. Cozza	France
667	R. Gumny	Poland
668	S. Kjær	Denmark
669	T. Delaney	Denmark
670	B. Mbeumo	France
671	J. Roussillon	France
672	E. Salcedo	Italy
673	H. Choudhury	England
674	I. Rakiti?	Croatia
675	L. Mousset	France
676	O. Ejaria	England
677	A. Cistana	Italy
679	Muniain	Spain
680	K. Walker	England
681	Sergio Busquets	Spain
682	Y. Mina	Colombia
683	A. Ramsdale	England
684	Calero	Spain
685	N. Vlaši?	Croatia
686	Tomás Tavares	Portugal
687	Unai Núñez	Spain
688	M. Dahoud	Germany
689	Pedro Neto	Portugal
690	C. Carter-Vickers	United States
691	D. Bradari?	Croatia
692	José Callejón	Spain
693	Munir	Spain
694	T. Kouassi	France
695	A. Armstrong	England
696	F. Caicedo	Ecuador
697	H. Massengo	France
698	J. Vertonghen	Belgium
699	K. Iheanacho	Nigeria
700	Mariano	Dominican Republic
701	Ayoze Pérez	Spain
702	Sergi Roberto	Spain
703	T. Chalobah	England
704	D. Dumfries	Netherlands
705	D. Livakovi?	Croatia
706	H. Lloris	France
707	J. Hernández	Colombia
708	L. Podolski	Germany
709	Marcos Llorente	Spain
710	Miguel Luís	Portugal
711	Koke	Spain
712	Oscar	Brazil
713	R. Pizarro	Mexico
714	I. Periši?	Croatia
715	Léo Duarte	Brazil
716	Marcos Antonio	Brazil
717	M. Caldara	Italy
718	R. Piccoli	Italy
719	G. Rutter	France
720	E. Eze	England
721	N. Amiri	Germany
722	A. Mitrovi?	Serbia
723	C. Früchtl	Germany
724	F. Thauvin	France
725	K. Rüegg	Switzerland
726	P. Gazzaniga	Argentina
727	R. Manaj	Albania
728	S. Amrabat	Morocco
729	Y. Gboho	France
730	D. Tadi?	Serbia
731	H. Onyekuru	Nigeria
733	N. Schulz	Germany
734	R. van Drongelen	Netherlands
735	Z. Bakkali	Belgium
736	A. Doucouré	France
737	A. Olsen	Denmark
738	L. Suárez	Colombia
739	S. Serdar	Germany
740	Willian José	Brazil
741	A. Bella-Kotchap	Germany
742	D. Caicedo	Colombia
743	E. Álvarez	Mexico
744	F. Nmecha	England
745	G. Xhaka	Switzerland
746	J. Brekalo	Croatia
747	L. Traoré	Burkina Faso
748	M. Edwards	England
749	B. Traoré	Burkina Faso
750	E. Forsberg	Sweden
751	F. Ribéry	France
752	Jorginho	Italy
753	E. Ávila	Argentina
754	C. Romero	Argentina
755	Diogo Costa	Portugal
756	E. Lamela	Argentina
757	F. Benkovi?	Croatia
758	G. Plata	Ecuador
759	J. Lundstram	England
760	L. Kelly	England
761	Willian	Brazil
762	D. Fry	England
763	Córdoba	Spain
764	J. Justin	England
765	K. Walker-Peters	England
766	O. Dorley	Liberia
767	R. Cannon	United States
768	S. Sessegnon	England
769	T. Bakayoko	France
770	A. Plizzari	Italy
771	D. Benedetto	Argentina
772	J. Ward-Prowse	England
773	Loren	Spain
774	A. Ajeti	Switzerland
775	A. Halilovi?	Croatia
776	D. Ings	England
777	Deulofeu	Spain
778	K. Trippier	England
779	K. Mavropanos	Greece
780	E. Simms	England
781	Hulk	Brazil
782	J. Boateng	Germany
783	L. Balerdi	Argentina
784	O. McBurnie	Scotland
785	S. Boufal	Morocco
786	T. Oakley-Boothe	England
787	Jordi Alba	Spain
788	K. Boateng	Ghana
789	M. Maignan	France
790	O. Giroud	France
791	Thiago Silva	Brazil
792	Y. González	Colombia
793	J. Gbamin	Ivory Coast
794	J. Weigl	Germany
795	J. Locadia	Netherlands
796	K. Volland	Germany
797	N. Nández	Uruguay
798	R. De Paul	Argentina
799	S. Lammers	Netherlands
800	D. Laxalt	Uruguay
801	T. Alderweireld	Belgium
802	A. Hickey	Scotland
803	E. Cardozo	Argentina
804	Ronaldo Vieira	England
805	W. Barrios	Colombia
806	Fernando	Brazil
807	M. Damsgaard	Denmark
808	W. Bony	Ivory Coast
809	W. Szcz?sny	Poland
810	Barrenetxea	Spain
811	Wu Lei	China PR
812	Santi Cazorla	Spain
813	L. Reis	Netherlands
814	P. Pomykal	United States
815	R. Koch	Germany
816	A. Elis	Honduras
817	Bruma	Portugal
818	J. Stansfield	England
819	M. Mittelstädt	Germany
820	T. Doyle	England
821	X. Shaqiri	Switzerland
822	A. Appiah	England
823	F. Agu	Germany
824	Louri Beretta	Brazil
825	T. Castagne	Belgium
826	M. Pjani?	Bosnia Herzegovina
827	Falcao	Colombia
828	S. Wamangituka	DR Congo
829	B. Cufré	Argentina
830	David Luiz	Brazil
831	I. Poveda	England
832	I. Toney	England
833	J. Butland	England
834	Lucas Leiva	Brazil
835	M. Neuer	Germany
836	N. Mati?	Serbia
837	G. Montiel	Argentina
838	L. Waldschmidt	Germany
839	S. Nakajima	Japan
840	B. Davies	Wales
841	Portu	Spain
842	D. D'Ambrosio	Italy
843	D. Popov	Ukraine
844	Altube	Spain
845	Thierry Correia	Portugal
846	Carvajal	Spain
847	G. Chiellini	Italy
848	I. Sangaré	Ivory Coast
849	J. Kenny	England
850	K. Toko-Ekambi	Cameroon
851	N. Wood	England
852	O. Özyakup	Turkey
853	Pau López	Spain
854	Bryan Gil	Spain
855	C. Smalling	England
856	D. Gray	England
857	J. Panzo	England
858	Rafa	Portugal
859	R. Rodríguez	Switzerland
860	R. Živkovi?	Netherlands
861	B. Leno	Germany
862	C. Bravo	Chile
863	Parejo	Spain
864	J. Roles	Cyprus
865	J. Milner	England
866	M. Locatelli	Italy
867	Pedro Mendes	Portugal
868	R. Vargas	Switzerland
869	I. Gündo?an	Germany
870	A. Marqués	Venezuela
871	Iniesta	Spain
872	D. Levitt	Wales
873	Felipe	Brazil
874	J. Eggestein	Germany
875	J. Pickford	England
876	J. Veretout	France
877	Bartra	Spain
878	M. Meyer	Germany
879	O. Vlachodimos	Greece
880	A. Ramsey	Wales
881	D. Wass	Denmark
882	D. Berardi	Italy
883	L. Kurzawa	France
884	M. Hinteregger	Austria
885	M. Ginter	Germany
886	P. Aránguiz	Chile
887	Canales	Spain
888	B. Matuidi	France
889	F. Schär	Switzerland
890	G. Di Lorenzo	Italy
891	H. Vanaken	Belgium
892	M. Richter	Germany
893	S. Schrijvers	Belgium
894	A. Conti	Italy
895	Fran Beltrán	Spain
896	I. Jakobs	Germany
897	Roger Guedes	Brazil
898	S. Birindelli	Italy
899	S. Plaza	Ecuador
900	A. Iwobi	Nigeria
901	A. Cragno	Italy
902	B. Woodburn	Wales
903	D. Demme	Germany
904	Cesc Fàbregas	Spain
905	K. Jó?wiak	Poland
906	N. Maupay	France
907	N. Milenkovi?	Serbia
908	S. Mustafi	Germany
909	V. Muriqi	Kosovo
910	A. Kramari?	Croatia
911	Aurélio Buta	Portugal
912	D. Godín	Uruguay
913	D. Blanco	Argentina
914	D. Vlahovi?	Serbia
915	E. Schetino	Uruguay
916	G. Higuaín	Argentina
917	L. Baker	England
918	L. Da Cunha	France
919	R. Holding	England
920	T. Pukki	Finland
921	B. Cristante	Italy
922	C. Musonda	Belgium
923	E. Brignola	Italy
924	J. Bednarek	Poland
925	J. Quintero	Colombia
926	L. Trossard	Belgium
927	Mário Fernandes	Russia
928	N. Pérez	Argentina
929	N. Maksimovi?	Serbia
930	Quaresma	Portugal
931	A. Ndiaye	Senegal
932	C. Eiting	Netherlands
933	D. Redan	Netherlands
934	E. Bardhi	FYR Macedonia
935	F. Coman	Romania
936	M. Viviani	Italy
937	Santi Mina	Spain
938	X. Schlager	Austria
939	C. Roldan	United States
940	Chumi	Spain
941	R. Barkley	England
942	T. Mings	England
943	A. Petagna	Italy
944	E. Ünal	Turkey
945	Chiquinho	Portugal
946	J. Beyer	Germany
947	M. Saracchi	Uruguay
948	R. Doan	Japan
949	T. Davies	England
950	A. Turan	Turkey
951	Gerard Moreno	Spain
952	I. Aliseda	Argentina
953	M. Rojo	Argentina
954	O. Mangala	Belgium
955	A. Fein	Germany
956	J. Matip	Cameroon
957	Jorge	Brazil
958	T. Malacia	Netherlands
959	V. Wanyama	Kenya
960	Ayrton	Brazil
961	J. Egan	Republic of Ireland
962	M. Cáceres	Uruguay
963	Alex Teixeira	Brazil
964	B. Johnson	Wales
965	E. Hysaj	Albania
966	T. Harwood-Bellis	England
967	A. Barreal	Argentina
968	A. Král	Czech Republic
969	C. Montes	Mexico
970	Diego Costa	Spain
971	G. Simeone	Argentina
972	Iñigo Martínez	Spain
973	J. Clarke	England
974	L. Dunk	England
975	L. Ocampos	Argentina
976	M. Castro	Uruguay
977	M. Hamšík	Slovakia
978	R. Quirynen	Belgium
979	T. Eyoma	England
980	Joan Jordán	Spain
981	João Moutinho	Portugal
982	S. Savi?	Montenegro
983	A. Almendra	Argentina
984	C. Vela	Mexico
985	F. Müller	Germany
986	G. Pereiro	Uruguay
987	G. Escalante	Argentina
988	J. Shackleton	England
989	Otávio	Brazil
990	A. Miranchuk	Russia
991	D. Loader	England
992	D. Man	Romania
993	Iago Aspas	Spain
994	Vallejo	Spain
995	J. Yeboah	Germany
996	J. Bamba	France
997	Manu Vallejo	Spain
998	M. Svilar	Belgium
999	R. Henry	England
1000	S. Kagawa	Japan
1001	J. Andersen	Denmark
1002	M. Romero	Argentina
1003	P. Jones	England
1004	S. Hakšabanovi?	Montenegro
1005	S. Kolašinac	Bosnia Herzegovina
1006	A. Diawara	Guinea
1007	A. Sanabria	Paraguay
1008	Dodô	Brazil
1009	Gonzalo Villar	Spain
1010	J. Savarino	Venezuela
1011	J. Lukaku	Belgium
1012	Nacho Fernández	Spain
1013	J. von Moos	Switzerland
1014	Oriol Busquets	Spain
1015	P. Hellebrand	Czech Republic
1016	R. Harper	England
1017	Z. Steffen	United States
1018	L. Mai	Germany
1019	L. Chevalier	France
1020	A. Kolarov	Serbia
1021	C. Chambers	England
1022	D. Sterling	England
1023	E. Zahavi	Israel
